tconst,primaryTitle,startYear,runtimeMinutes,poster_path,averageRating,numVotes,W_Note,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Science Fiction,Sport,Thriller,War,Western
tt0010323,The Cabinet of Dr. Caligari,1920,67,/myK9DeIsXWGKgUTZyGXg2IfFk0W.jpg,8,70632,7.738581228,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
tt0012349,The Kid,1921,68,/drgMcyTsySQBnUPGaBThCHGdlWT.jpg,8.2,135829,8.013466477,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0015864,The Gold Rush,1925,95,/eQRFo1qwRREYwj47Yoe1PisgOle.jpg,8.1,119436,7.909604254,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0017136,Metropolis,1927,153,/pxbGZewX327IbTvrCVRJgcLJTSQ.jpg,8.3,186857,8.146594637,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
tt0017925,The General,1926,78,/nIp4gIXogCjfB1QABNsWwa9gSca.jpg,8.1,98858,7.877971548,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tt0020629,All Quiet on the Western Front,1930,152,/1wZUB08igw8iLUgF1r4T6aJD65b.jpg,8.1,68114,7.804663101,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tt0021749,City Lights,1931,87,/bXNvzjULc9jrOVhGfjcc64uKZmZ.jpg,8.5,197428,8.331406118,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0021814,Dracula,1931,75,/ueVSPt7vAba0XScHWTDWS5tNxYX.jpg,7.4,59130,7.281136337,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0021884,Frankenstein,1931,70,/iBpqsI0LNOTwjkA5rwRsI8TQJ0E.jpg,7.8,80333,7.610125981,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
tt0024216,King Kong,1933,100,/lHlnxKL5GbgRibyRFI7n1Ey850i.jpg,7.9,91620,7.707065683,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
